Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	17.44799		|			0
167	|	18.46408		|	11.72085	(+/-3.13548)	|	1.27604	(+/-0.7478)	|	1.05824		|	0.51867	(0.0)
168	|	18.09714		|	11.7161	(+/-3.15487)	|	1.23386	(+/-0.91439)	|	1.03721		|	0.48891	(0.0)
169	|	18.15848		|	11.76221	(+/-3.19915)	|	1.32232	(+/-0.85925)	|	1.04072		|	0.49323	(0.0)
170	|	18.67079		|	11.76118	(+/-3.18394)	|	1.38917	(+/-0.94248)	|	1.07008		|	0.40539	(8e-05)
171	|	18.34344		|	11.7292	(+/-3.17264)	|	1.34443	(+/-0.86018)	|	1.05132		|	0.43183	(2e-05)
172	|	18.17464		|	11.72528	(+/-3.17048)	|	1.30457	(+/-0.81835)	|	1.04165		|	0.48352	(0.0)
173	|	17.87699		|	11.6912	(+/-3.11662)	|	1.50803	(+/-0.95523)	|	1.02459		|	0.51102	(0.0)
174	|	17.76125		|	11.75085	(+/-3.16115)	|	1.41375	(+/-0.87038)	|	1.01795		|	0.52488	(0.0)
175	|	18.01723		|	11.74677	(+/-3.16631)	|	1.37478	(+/-0.87413)	|	1.03262		|	0.52955	(0.0)
176	|	17.84348		|	11.67773	(+/-3.21439)	|	1.26597	(+/-0.81072)	|	1.02267		|	0.51906	(0.0)
177	|	18.30438		|	11.71215	(+/-3.216)	|	1.10482	(+/-0.7564)	|	1.04908		|	0.50712	(0.0)
178	|	18.49		|	11.78051	(+/-3.23419)	|	1.22897	(+/-0.76656)	|	1.05972		|	0.46827	(0.0)
179	|	18.18098		|	11.72064	(+/-3.21908)	|	1.39777	(+/-0.86821)	|	1.04201		|	0.50137	(0.0)
180	|	18.45176		|	11.78922	(+/-3.21505)	|	1.28513	(+/-0.84314)	|	1.05753		|	0.48732	(0.0)
181	|	18.19363		|	11.77803	(+/-3.20908)	|	1.15157	(+/-0.77463)	|	1.04274		|	0.43374	(2e-05)
182	|	18.12545		|	11.74605	(+/-3.22406)	|	1.26112	(+/-0.91378)	|	1.03883		|	0.51414	(0.0)
183	|	17.95561		|	11.67206	(+/-3.15382)	|	1.25158	(+/-0.79473)	|	1.02909		|	0.47726	(0.0)
184	|	18.57652		|	11.67391	(+/-3.19595)	|	1.16658	(+/-0.78096)	|	1.06468		|	0.4615	(1e-05)
